game,compiled,random,n_levels,n_solved,n_timeout,max_len,mean_len,max_iters,error
-=lost=-,1,0,6,1,5,12,12.0,8000,
123456,1,0,28,28,0,3,3.0,9,
12345_v1.0,1,0,30,22,8,46,13.2,68000,
1D_M3,1,1,1,0,1,0,0,14000,
1D_Rubik's_Cube,0,0,0,0,0,0,0,0,hang: exceeded 120.0s wall clock
1D_Sokoban,1,0,2,2,0,9,7.0,19,
2020,1,0,5,3,2,22,15.0,44538,
2048,1,1,1,0,1,0,0,84000,
2D_Whale_World,1,0,8,4,4,61,39.5,9000,
3_brothers,1,0,14,11,3,18,14.3,62000,
3_in_a_row,1,1,1,0,1,0,0,14000,
5_step_steve_DEMAKE,1,0,1,0,1,0,0,1000,
9x9_Go,1,0,1,0,1,0,0,9000,
AVGN_Dis-Ventures,1,0,30,28,2,40,13.6,40000,
A_Cog's_Life,1,1,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
A_Knight's_Path,1,0,2,1,1,50,50.0,38000,
A_Knight's_Tour,1,0,11,3,8,40,34.7,28000,
A_Plaid_Puzzle,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
A_Rose_for_Icy_Heart,1,1,11,7,2,62,29.4,9000,
A_Unexamined_Life_Is_Not_Worth_Meowing,1,0,1,0,1,0,0,16000,
A_desecration_of_Jack_Lance's__I'm_too_far_gone_,1,1,1,0,1,0,0,3000,
"A_port_of_Puzzle_Wizard_IQ_130+,_level_18_of_72",1,0,1,1,0,73,73.0,9382,
Aaaah!_I'm_Being_Attacked_by_a_Giant_Tentacle!,1,1,10,6,4,58,36.0,10000,
Abel's_Werehouse,1,0,6,6,0,33,12.0,6710,
Absorb,1,0,2,2,0,11,10.0,302,
"Ad_Infinitum_v0.4.2_[Implemented_HighFloor,_finished]",1,0,28,11,16,21,6.3,22000,
Add_Man_2__This_Time_It's_Arithmetical,1,0,15,10,2,50,24.5,100000,
Aerobatics,1,1,10,3,7,27,15.0,12000,
Airport_Aggression,1,1,1,0,1,0,0,1000,
Akari_2,1,0,4,1,2,5,5.0,19000,
Al's_Egg_Roll,1,0,23,4,19,18,13.2,4000,
Alcazar,1,1,10,2,8,12,8.0,19000,
Algorithm-Generated_Sokoban_Levels,1,0,20,17,3,90,55.2,93000,
All_These_Damn_Crates,1,0,4,0,4,0,0,45000,
Alley,1,1,7,5,2,17,9.4,47000,
Amy,1,0,8,0,8,0,0,92000,
An_Auspicious_Day_v0.2.1,1,0,1,0,1,0,0,1000,
Ancient_Puzzles_of_Colossal_Caves_indev4,1,1,8,0,8,0,0,13000,
Angize,1,0,13,13,0,2,2.0,1,
Animal_Cascade,1,0,10,10,0,9,4.9,396,
Antimatter_Labs,1,0,12,3,9,18,12.3,56000,
Aperture_Science_Sokoban_Testing_Initiative,1,1,23,5,18,24,11.6,27000,
"At_Last,_A_Ninja!",1,0,3,0,3,0,0,10000,
Atlas_Shrank,1,0,12,5,7,40,26.6,9000,
Atomix_demake,1,1,14,2,12,37,28.0,9000,
Attack_of_the_Martian_Giants,1,1,7,0,7,0,0,7000,
AutoDom,1,0,1,0,1,0,0,35000,
AutoTrom,1,0,1,0,1,0,0,18000,
Autumn,1,1,20,9,11,29,15.9,19000,
